QN#;Heading;Requirement;Citation;Related Documents
2.1;Energy Efficiency of Processes;If the company is an industrial, transport, or services company with an annual energy consumption reaching the limits stated by Executive Decree No. 05-495 of 26 December 2005 relating to the Energy Audit of High Energy Consumption Establishments, it has appointed a person responsible for the energy management.;"Executive Decree No. 05-495 of 26 December 2005 relating to the Energy Audit of High Energy Consumption Establishments; Art. 17";"*Document on the annual energy consumption
*Appointment letter of person responsible for the energy management"
3.1;Ambient Noise Emissions;The facility infrastructure is built, run and designed in such a way as to reduce the ambient noise generated.;"Law 03-10 of 19 July 2003 on Protection of the Environment in the Perspective of Sustainable Development; Art. 44 and Art. 46
Executive Decree 93-184 of 27 of July 1993 on Noise Emissions.; Art. 7";*Records on ambient noise generated by the facility
3.2;Ambient Noise Emissions;If the noise level generated by the facility exceeds the ambient noise levels listed under Art. 6 of Executive Decree 93-184 of 27 July 1993, the facility takes actions to reduce such levels.;"Executive Decree 93-184 of 27 of July 1993 on Noise Emissions.; Art. 6";*Records on ambient noise generated by the facility
3.3;Ambient Noise Emissions;If the facility carries out activities that generates noise likely to present dangers to people or nuisance to the environment, it has obtained an authorization.;"Law 03-10 of 19 July 2003 on Protection of the Environment in the Perspective of Sustainable Development; Art. 74";*Authorization for activities generating noise
4.1;Ionizing Radiation;If the facility owns or operates a source of ionizing radiation, it has obtained a valid authorization from the competent authority.;"Presidential Decree 05-117 of 11 April 2005 on Protection of Workers Against Ionizing Radiation.; Art. 3";*Operating authorization for sources of ionizing radiation
4.2;Ionizing Radiation;If the facility imports or exports a radiation source or a radioactive substance, it has obtained a prior visa to do so from the Atomic Energy Commission (Commissariat à l'énergie atomique).;"Presidential Decree 05-117 of 11 April 2005 on Protection of Workers Against Ionizing Radiation.; Art. 5";*Visa for import radioactive substances or sources of radiation
4.3;Ionizing Radiation;If the facility operates a source of ionizing radiation, it informs the Atomic Energy Commission (Commissariat à l'énergie atomique) three months in advance of the dates of trials preceding the effective functioning of the installations, as well as the dates of the effective functioning of the installation, and the starting of the practices involving the source of ionizing radiation.;"Presidential Decree 05-117 of 11 April 2005 on Protection of Workers Against Ionizing Radiation.; Art. 12";"*Information of the ""Commissariat"" of Atomic Energy on the dates of trials preceding the effective functioning of the installations, as well as dates of the effective functioning of the installation"
4.4;Ionizing Radiation;If the facility owns or operates a source of ionizing radiation, it has made a declaration to the Atomic Energy Commission (Commissariat à l'énergie atomique).;"Presidential Decree 05-117 of 11 April 2005 on Protection of Workers Against Ionizing Radiation.; Art. 3 and Art. 5 and Art. 7";*Declaration of the operation of a source of ionizing radiation
4.5;Ionizing Radiation;If the facility discharges radioactive materials to the environment, it has a valid authorization to do so.;"Presidential Decree 05-117 of 11 April 2005 on Protection of Workers Against Ionizing Radiation.; Art. 87
Presidential Decree 05-119 of the 11 of April 2005 on Management of Radioactive Waste; Art. 7";*Authorization for discharging radioactive materials
4.6;Ionizing Radiation;If the facility operates radioactive sources it has submitted to the Atomic Energy Commission (Commissariat à l'énergie atomique) the documents listed in article 85 of Presidential Decree 05-117 of 11 April 2005 on Protection of Workers Against Ionizing Radiation  prior to the setup of the installation.;"Presidential Decree 05-117 of 11 April 2005 on Protection of Workers Against Ionizing Radiation.; Art. 85";"*Emergency plan for facilities that use radioactive sources
*Plans of the installation including the location of the radioactive sources
*Biological protection assessments
*Information on the measures foreseen in order to reduce public exposure to ionizing radiation
*Radiological impact assessment
*Information on the specific dose constraint applicable to the nuclear installation
*Service trial programme of the nuclear installation"
4.7;Ionizing Radiation;If the facility has radioactive substances' releases, it monitors them at their emission point.;"Presidential Decree 05-117 of 11 April 2005 on Protection of Workers Against Ionizing Radiation.; Art. 89";*Records on the monitoring of the radioactive substances releases at their emission point
4.8;Ionizing Radiation;If the facility uses radioactive sources, it has established an emergency plan that has been approved by the Atomic Energy Commission (Commissariat à l'énergie atomique) and the Civil Protection services.;"Presidential Decree 05-117 of 11 April 2005 on Protection of Workers Against Ionizing Radiation.; Art. 97";*Emergency plan for facilities that use radioactive sources
4.9;Ionizing Radiation;If the facility carries out activities involving a risk of exposure to radiation, it develops annually an internal contingency plan  (مخطط الأستعجال الداخلي).;"Executive Decree No. 126-17 of 2017 on the protection of the public and workers against radioactive radiation; Art.12";*Internal contingency plan
4.10;Ionizing Radiation;If the facility carries out activities involving radiation, it ensures it carries out a review of its internal contingency plans whenever a change occurs to the assessments on which it is based.;"Executive Decree No. 126-17 of 2017 on the protection of the public and workers against radioactive radiation; Art.16";*Internal contingency plan
4.11;Ionizing Radiation;If the facility has sources of ionizing radiation and is classified as Class I or II installation, it develops a special emergency response plan (مخطط خاص للتدخل).;"Executive Decree No. 126-17 of 2017 on the protection of the public and workers against radioactive radiation; Art.17";*Special emergency plan for Class I and Class II facilities
4.12;Ionizing Radiation;The facility notifies the competent authorities whenever it deploys its internal contingency plan due to an accident involving ionizing radiation.;"Executive Decree No. 126-17 of 2017 on the protection of the public and workers against radioactive radiation; Art. 28";"*Internal contingency plan
*Evidence of notification of an accident involving ionizing radiation"
