QN#;Heading;Requirement;Citation;Related Documents
4.7;General Workplace Requirements;If the normal activity entails traffic of trucks, or other vehicles for the purpose of transport and handling, the facility establishes paths devoted to their circulation.;"Executive Decree 91-05 of 19 January 1991 on General Prescriptions for Protection Relative to Hygiene and Safety in Workplaces; Art. 30";
4.8;General Workplace Requirements;Paths used for circulation of trucks, trolleys, and vehicles are marked with signals to achieve safe traffic.;"Executive Decree 91-05 of 19 January 1991 on General Prescriptions for Protection Relative to Hygiene and Safety in Workplaces; Art. 27";
4.9;General Workplace Requirements;The facility takes adequate disinfection measures to protect against contagious diseases.;"Executive Decree 91-05 of 19 January 1991 on General Prescriptions for Protection Relative to Hygiene and Safety in Workplaces; Art. 5";
4.10;General Workplace Requirements;Buildings and spaces devoted to working, including annexes, are protected against fumes, toxic gases, noise, and all other disturbances.;"Law 88-07 of 26 January 1988 on Hygiene, Safety, and Occupational Health Care; Art. 5";
4.11;General Workplace Requirements;The facility ensures that tissues, rags, and papers soaked in flammable liquids are stored after use in metallic containers that are, sealed, leak-proof and kept away from any source of heat.;"Executive Decree 91-05 of 19 January 1991 on General Prescriptions for Protection Relative to Hygiene and Safety in Workplaces; Art. 52";
4.12;General Workplace Requirements;The floor of circulation paths, and workstations, are well leveled.;"Executive Decree 91-05 of 19 January 1991 on General Prescriptions for Protection Relative to Hygiene and Safety in Workplaces; Art. 28";
4.13;General Workplace Requirements;The circulation paths used by workers and employees are maintained unobstructed.;"Executive Decree 91-05 of 19 January 1991 on General Prescriptions for Protection Relative to Hygiene and Safety in Workplaces; Art. 29";
4.14;General Workplace Requirements;The facility ensures the buildings and workstations, including annexes, are safe for workers handling materials, hazardous materials, or any other objects.;"Law 88-07 of 26 January 1988 on Hygiene, Safety, and Occupational Health Care; Art. 5";
4.15;Ventilation;Ventilation of workplaces is ensured either mechanically, naturally in a permanent way or by a mixture of both systems.;"Executive Decree 91-05 of 19 January 1991 on General Prescriptions for Protection Relative to Hygiene and Safety in Workplaces; Art. 6";
4.16;Ventilation;The employer has installed a system of mechanical or natural ventilation or a mixed system in any premises located underground.;"Executive Decree 91-05 of 19 January 1991 on General Prescriptions for Protection Relative to Hygiene and Safety in Workplaces; Art. 7";
4.17;Ventilation;The employer has installed a system of mechanical or natural ventilation or a mixed system in any premises where works are conducted in areas that are away from the sunlight.;"Executive Decree 91-05 of 19 January 1991 on General Prescriptions for Protection Relative to Hygiene and Safety in Workplaces; Art. 7";
4.18;Ventilation;In premises located underground and those where works are carried out away from the sunlight, air is taken from pollution-free sources.;"Executive Decree 91-05 of 19 January 1991 on General Prescriptions for Protection Relative to Hygiene and Safety in Workplaces; Art. 7";
4.19;Ventilation;In premises located underground and those where works are carried out away from sunlight, air is taken from sources away from zones associated with particular risk of fire.;"Executive Decree 91-05 of 19 January 1991 on General Prescriptions for Protection Relative to Hygiene and Safety in Workplaces; Art. 7";
4.20;Ventilation;There are openings ensuring ventilation and natural lighting in closed areas.;"Executive Decree 91-05 of 19 January 1991 on General Prescriptions for Protection Relative to Hygiene and Safety in Workplaces; Art. 8";
4.21;Ventilation;Drums are put around mechanic devices that generate dust to capture the dust generated.;"Executive Decree 91-05 of 19 January 1991 on General Prescriptions for Protection Relative to Hygiene and Safety in Workplaces; Art. 10";
4.22;Ventilation;Gases and fumes generated from the heating machines for protection of workers against cold and bad weather are evacuated outside of the premises.;"Executive Decree 91-05 of 19 January 1991 on General Prescriptions for Protection Relative to Hygiene and Safety in Workplaces; Art. 14";
4.23;Ventilation;The workplace atmosphere is protected against emissions from sewers, graves or any other source of infection.;"Executive Decree 91-05 of 19 January 1991 on General Prescriptions for Protection Relative to Hygiene and Safety in Workplaces; Art. 9";
4.24;Lighting;Premises, work stations, circulation zones, and handling zones are adequately lit.;"Executive Decree 91-05 of 19 January 1991 on General Prescriptions for Protection Relative to Hygiene and Safety in Workplaces; Art. 13";
4.25;Sanitary Provisions;There is a sufficient number of toilets in the facility.;"Executive Decree 91-05 of 19 January 1991 on General Prescriptions for Protection Relative to Hygiene and Safety in Workplaces; Art. 18";
4.26;Sanitary Provisions;The floors and walls of sanitary facilities are built of impermeable materials and painted in a light color.;"Executive Decree 91-05 of 19 January 1991 on General Prescriptions for Protection Relative to Hygiene and Safety in Workplaces; Art. 18";
4.27;Sanitary Provisions;The facility ensures workers are provided with individual sanitary facilities including showers, drinking water, washbasins, toilets, etc.;"Law 88-07 of 26 January 1988 on Hygiene, Safety, and Occupational Health Care; Art. 4";
4.28;Sanitary Provisions;There are adequate changing rooms in the facility.;"Executive Decree 91-05 of 19 January 1991 on General Prescriptions for Protection Relative to Hygiene and Safety in Workplaces; Art. 19";
4.29;Sanitary Provisions;There are sinks for workers to wash their hands in at the facility.;"Executive Decree 91-05 of 19 January 1991 on General Prescriptions for Protection Relative to Hygiene and Safety in Workplaces; Art. 20";
4.30;Sanitary Provisions;There are showers at the disposal of workers exposed to unclean or unhygienic work conditions, risk of contamination and intoxication.;"Executive Decree 91-05 of 19 January 1991 on General Prescriptions for Protection Relative to Hygiene and Safety in Workplaces; Art. 21";
4.31;Sanitary Provisions;Sanitation areas must be equipped with adequate openings ensuring natural ventilation.;"Executive Decree 91-05 of 19 January 1991 on General Prescriptions for Protection Relative to Hygiene and Safety in Workplaces; Art. 18";
4.32;Drinking Water;Workers are provided with drinking water.;"Executive Decree 91-05 of 19 January 1991 on General Prescriptions for Protection Relative to Hygiene and Safety in Workplaces; Art. 24";
4.33;Rest Areas;If more than 25 persons have their meal in the facility, the employer provides for an adequate place for them to eat.;"Executive Decree 91-05 of 19 January 1991 on General Prescriptions for Protection Relative to Hygiene and Safety in Workplaces; Art. 22";
4.34;Rest Areas;The employer prohibits workers from eating their meals on the workstations unless the nature of the activity does not comprise use of hazardous substances or preparations.;"Executive Decree 91-05 of 19 January 1991 on General Prescriptions for Protection Relative to Hygiene and Safety in Workplaces; Art. 22";
4.35;Rest Areas;The facility ensures that premises devoted to housing workers are isolated of workshops and protected from nuisance and disturbances.;"Executive Decree 91-05 of 19 January 1991 on General Prescriptions for Protection Relative to Hygiene and Safety in Workplaces; Art. 23";
5.1;Manual Handling of Loads / Back Injury Prevention;The employer ensures workers do not manually carry loads exceeding 50 kg for males and 25 kg for females.;"Executive Decree 91-05 of 19 January 1991 on General Prescriptions for Protection Relative to Hygiene and Safety in Workplaces; Art. 26";
6.1;Chemical Agents;The employer ensures that workers working in rooms associated with high risk of exposure to toxic substances stay only the minimal time period required by the task and are provided with appropriate protection.;"Executive Decree 91-05 of 19 January 1991 on General Prescriptions for Protection Relative to Hygiene and Safety in Workplaces; Art. 11";
6.2;Chemical Agents;Operations comprising treatment of irritating or toxic materials are carried out mechanically in a closed device.;"Executive Decree 91-05 of 19 January 1991 on General Prescriptions for Protection Relative to Hygiene and Safety in Workplaces; Art. 10";
6.3;Chemical Agents;The facility ensures that work associated with high risk of exposure to toxic substances is carried out in rooms devoted to that use and equipped with devices used for extraction and renewal of air.;"Executive Decree 91-05 of 19 January 1991 on General Prescriptions for Protection Relative to Hygiene and Safety in Workplaces; Art. 11";
6.4;Chemical Agents;The facility provides workers with appropriate protective equipment if they are involved with the handling or decanting of substances with the potential to cause burns including chemical burns.;"Executive Decree 91-05 of 19 January 1991 on General Prescriptions for Protection Relative to Hygiene and Safety in Workplaces; Art. 32";
6.5;Noise;Noise levels are kept compatible with workers health.;"Executive Decree 91-05 of 19 January 1991 on General Prescriptions for Protection Relative to Hygiene and Safety in Workplaces; Art. 15";*Records of occupational noise monitoring results
6.6;Biological Agents;If the company is not involved in the health and pharmaceutical sector, and does not distribute oil and other sources of energy, it has suspended all of its activities.;"Executive Decree No. 20-70 specifying Additional Measures for the Prevention and fight against the Coronavirus (Covid-19); Article 10; Article 11; Article 12";
6.7;Biological Agents;If the company is allowed to continue its activities based on a special decision, it provides its employees with the relevant exceptional permit.;"Executive Decree No. 20-70 specifying Additional Measures for the Prevention and fight against the Coronavirus (Covid-19); Article 6";
6.8;Biological Agents;If the company is allowed to continue its activities, it must provide 50% of its employees with exceptional paid leave.;"Executive Decree No. 20-70 specifying Additional Measures for the Prevention and fight against the Coronavirus (Covid-19); Article 15";
6.9;Biological Agents;If the company allows employees in the workplace, it ensures they wear face masks.;"Executive Decree No. 20-70 specifying Additional Measures for the Prevention and fight against the Coronavirus (Covid-19); Article 13";
6.10;Asbestos;The employer does not exceed permissible levels of asbestos dusts in the facility.;"Interministerial Order of 01 October 2003 on Protection of Workers Against Asbestos Dusts Inhalation; Art. 5";*Records of results of asbestos dusts monitoring
6.11;Asbestos;If the facility produces or transforms products or materials containing asbestos, the employer carries out monitoring of asbestos dust emissions at least once a trimester.;"Interministerial Order of 01 October 2003 on Protection of Workers Against Asbestos Dusts Inhalation; Art. 23";*Records for the monitoring of asbestos dust emissions
6.12;Asbestos;The workers  exposure to asbestos is as low as possible.;"Executive Decree No. 99-95 of 19 April 1999 on Prevention Against Asbestos Hazards; Art. 5";
6.13;Asbestos;If the facility carries out activities likely to expose workers to asbestos dust, it organizes training sessions for newly hired workers on hygiene, safety and prevention, and notably including the use of personal protective equipment and the drawbacks of smoking.;"Interministerial Order of 01 October 2003 on Protection of Workers Against Asbestos Dusts Inhalation; Art. 7";"*Employee training records
*Training document for workers exposed to asbestos dust"
6.14;Asbestos;If the facility carries out activities likely to expose workers to asbestos dust, it ensures workers do not eat, drink or smoke in the areas associated with a risk of inhalation of asbestos.;"Interministerial Order of 01 October 2003 on Protection of Workers Against Asbestos Dusts Inhalation; Art. 9";
6.15;Asbestos;The employer provides showers for workers carrying out tasks that expose them to asbestos dusts.;"Interministerial Order of 01 October 2003 on Protection of Workers Against Asbestos Dusts Inhalation; Art. 10";
6.16;Asbestos;Workers under 18 years of age and workers hired for a short term are not involved in tasks entailing inhalation of asbestos dusts.;"Interministerial Order of 01 October 2003 on Protection of Workers Against Asbestos Dusts Inhalation; Art. 13";
6.17;Asbestos;The employer carries out a new monitoring of asbestos dust emissions if a modification of the installation, or conditions of productions is likely to impact the emission of asbestos dusts.;"Interministerial Order of 01 October 2003 on Protection of Workers Against Asbestos Dusts Inhalation; Art. 23";*Records for the monitoring of asbestos dust emissions
6.18;Asbestos;The employer ensures that no worker is assigned to a task involving inhalation of asbestos dust unless the worker has a valid aptitude document from the doctor.;"Interministerial Order of 01 October 2003 on Protection of Workers Against Asbestos Dusts Inhalation; Art. 17";"*Medical aptitude document
*Initial medical report"
6.19;Asbestos;Personal protective equipment is effectively used by the workers exposed to asbestos dust.;"Interministerial Order of 01 October 2003 on Protection of Workers Against Asbestos Dusts Inhalation; Art. 15";
6.20;Asbestos;Personal protective equipment against asbestos dust is checked and properly maintained.;"Interministerial Order of 01 October 2003 on Protection of Workers Against Asbestos Dusts Inhalation; Art. 15";*Checks and maintenance records of protective equipment against asbestos dust
6.21;Asbestos;The employer ensures that the medical file for each worker exposed to dusts contains information concerning accidental exposures, and results of medical examinations carried out.;"Interministerial Order of 01 October 2003 on Protection of Workers Against Asbestos Dusts Inhalation; Art. 18";*Evidence of medical file for each worker exposed to asbestos dust
6.22;Asbestos;The facility places an information notice in every workstation where activities are carried out which are likely to expose workers to asbestos dusts.;"Interministerial Order of 01 October 2003 on Protection of Workers Against Asbestos Dusts Inhalation; Art. 6";
6.23;Asbestos;The information notice posted in workstation likely to expose workers to asbestos dusts is transmitted to the doctor appointed for health and safety in the facility.;"Interministerial Order of 01 October 2003 on Protection of Workers Against Asbestos Dusts Inhalation; Art. 6";
6.24;Asbestos;The employer keeps a list of workers exposed to inhalation of asbestos dusts, the nature of their respective tasks as well as the exposure duration.;"Interministerial Order of 01 October 2003 on Protection of Workers Against Asbestos Dusts Inhalation; Art. 16";*List of workers exposed to inhalation of asbestos dusts
6.25;Asbestos;If the facility carries out activities likely to expose workers to asbestos dust, it declares such activities to the labor inspectorate and the social security service as well as to the  medical inspector of the administration of health and population in the governorate (WILAYA).;"Interministerial Order of 01 October 2003 on Protection of Workers Against Asbestos Dusts Inhalation; Art. 3";"*Notification sent to the labor inspectorate, the social security organism and the doctor-inspector of the administration of health and population in the governorate ""Wilaya""."
6.26;Asbestos;If the facility carries out activities likely to expose workers to asbestos dust, it assesses a risk evaluation to determine the nature and quantity of the fibers as well as the duration and degree of worker exposure.;"Interministerial Order of 01 October 2003 on Protection of Workers Against Asbestos Dusts Inhalation; Art. 4";*Risk evaluation assessment for activities likely to expose workers to asbestos dusts
6.27;Asbestos;It the facility cannot put in place a system of collective protection from asbestos dusts or if the collective protection is inefficient, the facility provides workers exposed to asbestos dust with adequate personal protective equipment.;"Interministerial Order of 01 October 2003 on Protection of Workers Against Asbestos Dusts Inhalation; Art. 15";
6.28;Asbestos;The employer entrusts an authorized laboratory to carry out monitoring of asbestos dust emissions at least once a year in order to comply with the permissible levels of asbestos dusts in the facility.;"Interministerial Order of 01 October 2003 on Protection of Workers Against Asbestos Dusts Inhalation; Art. 24";*Records of results of asbestos dusts monitoring
6.29;Asbestos;If the facility carries out activities likely to expose workers to asbestos dust, for newly hired workers it organizes information sessions on hazards likely to affect health, including risk-enhancing factors such as smoking.;"Interministerial Order of 01 October 2003 on Protection of Workers Against Asbestos Dusts Inhalation; Art. 7";*Employee training records
6.30;Asbestos;Premises used for asbestos transformation or treatment are regularly cleaned and maintained.;"Executive Decree No. 99-95 of 19 April 1999 on Prevention Against Asbestos Hazards; Art. 5";
6.31;Asbestos;The results of the risk evaluation to determine the nature and quantity of the fibers as well as the duration and degree of worker exposure has been transmitted to the doctor appointed for health and safety in the facility and to the members of  the bi-party commission for hygiene and safety or to the person in charge of hygiene an safety, and are made available for the labor inspectorate, and the social security services.;"Interministerial Order of 01 October 2003 on Protection of Workers Against Asbestos Dusts Inhalation; Art. 4";*Risk evaluation assessment for activities likely to expose workers to asbestos dusts
6.32;Asbestos;The list of workers exposed to inhalation of asbestos dust has been transmitted to the doctor appointed to health and safety in the facility.;"Interministerial Order of 01 October 2003 on Protection of Workers Against Asbestos Dusts Inhalation; Art. 16";*Evidence of the submission to the doctor of the list of workers exposed to asbestos dust
7.1;Ionizing Radiation;If the company has workers exposed to ionising radiation, it ensures its workers are protected against external exposure to ionizing radiation and against radioactive contamination.;"Presidential Decree 05-117 of 11 April 2005 on Protection of Workers Against Ionizing Radiation.; Art. 28 and Art. 29";
7.2;Ionizing Radiation;If the facility handles, uses or stores radioactive sources (sealed or not) or electric generators of ionizing radiation, it has designated a qualified professional competent in radiation protection, holding a valid certificate.;"Presidential Decree 05-117 of 11 April 2005 on Protection of Workers Against Ionizing Radiation.; Art. 13 and Art. 16";"*Certificate of competence in the handling of sources of ionizing radiation
*Evidence of the appointment of the qualified professional"
7.3;Ionizing Radiation;The manager has established and regularly updates a register on the characteristics and history of radioactive sources and devices emitting ionizing radiation.;"Presidential Decree 05-117 of 11 April 2005 on Protection of Workers Against Ionizing Radiation.; Art. 14";*Register on radioactive sources and devices emitting ionizing radiation
7.4;Ionizing Radiation;If the facility handles radioactive sources or devices emitting ionizing radiations, it has informed and provided trainings to its workers in radioprotection.;"Presidential Decree 05-117 of 11 April 2005 on Protection of Workers Against Ionizing Radiation.; Art. 15";*Employee training records
7.5;Ionizing Radiation;The employer ensures that the occupational exposure ionizing radiation of all workers does not exceed the limits of exposure set by law.;"Presidential Decree 05-117 of 11 April 2005 on Protection of Workers Against Ionizing Radiation.; Art. 18";*Records of ionizing radiation exposure monitoring
7.6;Ionizing Radiation;The employer classifies the workers exposed to ionizing radiation in Class A or Class B workers, according to their potential level of exposure.;"Presidential Decree 05-117 of 11 April 2005 on Protection of Workers Against Ionizing Radiation.; Art. 19";*Records of ionizing radiation exposure monitoring
7.7;Ionizing Radiation;Installations that include/rely on using sources of ionizing radiation are equipped with a radiological protection device.;"Presidential Decree 05-117 of 11 April 2005 on Protection of Workers Against Ionizing Radiation.; Art. 24";
7.8;Ionizing Radiation;The manager of the facility has identified controlled areas and supervised areas around the ionizing radiation source prior to putting into service the source.;"Presidential Decree 05-117 of 11 April 2005 on Protection of Workers Against Ionizing Radiation.; Art. 26 and Art. 27";*Map of the facility identifying controlled and supervised areas
7.9;Ionizing Radiation;Controlled and supervised areas are appropriately marked.;"Presidential Decree 05-117 of 11 April 2005 on Protection of Workers Against Ionizing Radiation.; Art. 27
Interministerial Order of 20 January 2011 Regulating Specific Signaling in Regulated Areas containing Ionizing Radiation Sources; Art. 3";
7.10;Ionizing Radiation;Radioactive sources and devices emitting ionizing radiation are checked and maintained regularly by properly qualified and designated persons.;"Executive Decree 91-05 of 19 January 1991 on General Prescriptions for Protection Relative to Hygiene and Safety in Workplaces; Art. 62";*Records of devices emitting ionizing radiation
7.11;Ionizing Radiation;The facility manager organizes an individual dosimetry for each worker working in a controlled area.;"Presidential Decree 05-117 of 11 April 2005 on Protection of Workers Against Ionizing Radiation.; Art. 30";*Records of individual dosimetry results
7.12;Ionizing Radiation;The results of the individual dosimetry carried out on workers working in controlled areas are registered in the individual medical records of workers concerned.;"Presidential Decree 05-117 of 11 April 2005 on Protection of Workers Against Ionizing Radiation.; Art. 30";*Individual medical records showing dosimetry results
7.13;Ionizing Radiation;If the facility has Class A workers exposed or likely to be exposed to ionizing radiation in excess of 3/10 of the annual dose limit, it ensures they undergo a specific medical supervision.;"Presidential Decree 05-117 of 11 April 2005 on Protection of Workers Against Ionizing Radiation.; Art. 35";*Medical file for A-class workers
7.14;Ionizing Radiation;The occupational physician has established a specific medical file for each Class A worker.;"Presidential Decree 05-117 of 11 April 2005 on Protection of Workers Against Ionizing Radiation.; Art. 41
Order the Minister of Ministry of Health, Population, and Hospital Reform of 10 November 2015 concerning the medical supervision on workers exposed to ionizing radiation; Art. 7; Annex";*Medical file for A-class workers
7.15;Ionizing Radiation;The facility ensures that radiological monitoring devices are maintained and tested, and are re-calibrated at least once a year.;"Presidential Decree 05-117 of 11 April 2005 on Protection of Workers Against Ionizing Radiation.; Art. 49";*Records of maintenance of radiological monitoring devices
7.16;Ionizing Radiation;The facility ensures that premises in which radioactive sources can be found are equipped with a key closing system and have regulatory signalization displays.;"Presidential Decree 05-117 of 11 April 2005 on Protection of Workers Against Ionizing Radiation.; Art. 45";
7.17;Ionizing Radiation;The facility ensures that radioactive substances are stored in appropriate containers, and are only accessible to the persons appointed by the manager.;"Presidential Decree 05-117 of 11 April 2005 on Protection of Workers Against Ionizing Radiation.; Art. 50 and Art. 51";*List of the persons appointed by the facility manager to access the storage areas of radioactive substances
7.18;Ionizing Radiation;If the facility uses radioactive sources, it undertakes all the required monitoring operations.;"Presidential Decree 05-117 of 11 April 2005 on Protection of Workers Against Ionizing Radiation.; Art. 57 and Art. 58 and Art. 59";
