QN#;Heading;Requirement;Citation;Related Documents
6.3;Pressure Vessels/Systems;The facility ensures that its pressure vessels that are supplied with either gas or vapor have undergone a hydraulic pressure test prior to being put into service and then on a regular basis.;"Executive Decree No. 90-245 of 18 August 1990 regulating Gas Pressure Vessels; Art. 11, 13
Executive Decree 90-246 of 18 August 1990 regulating Pressure Vessels Supplied with Vapor; Art. 30 and Art. 33 and Art. 34";*Report on hydraulic pressure test
6.4;Pressure Vessels/Systems;The facility has submitted a declaration on the putting into service of its pressure vessels supplied with gas to the Minister of Energy and Mining.;"Executive Decree No. 90-245 of 18 August 1990 regulating Gas Pressure Vessels; Art. 17";*Declaration on the putting into service of pressure vessels supplied with gas
6.5;Pressure Vessels/Systems;The operator has established and regularly updates a maintenance register for each of its pressure vessels supplied either with gas or vapor.;"Executive Decree No. 90-245 of 18 August 1990 regulating Gas Pressure Vessels; Art. 18
Executive Decree 90-246 of 18 August 1990 regulating Pressure Vessels Supplied with Vapor; Art. 48";*Gas or vapor pressure vessel maintenance register
6.6;Pressure Vessels/Systems;The facility ensures that a thorough verification of its pressure vessels supplied with gas is undertaken at least every three years.;"Executive Decree No. 90-245 of 18 August 1990 regulating Gas Pressure Vessels; Art. 19";*Records of verification of pressure vessels supplied with gas
6.7;Pressure Vessels/Systems;In the event of a breakdown of a pressure vessel supplied with either gas or vapor, the operator has notified the Ministry of Energy and Mining without delay.;"Executive Decree No. 90-245 of 18 August 1990 regulating Gas Pressure Vessels; Art. 21";
6.8;Pressure Vessels/Systems;The pressure vessels supplied with vapor comply with the technical design requirements set out in Articles 9 to 28 of Executive Decree 90-246 of 18 August 1990 regulating pressure vessels supplied with vapor.;"Executive Decree 90-246 of 18 August 1990 regulating Pressure Vessels Supplied with Vapor; Art. 9 to 28";*Instruction manuals for pressure vessels supplied with vapor
6.9;Pressure Vessels/Systems;Each pressure vessel supplied with vapor is equipped with a plate that displays the identity of the manufacturer, the location and year of manufacture, the serial number, and the boiler pressure test mark.;"Executive Decree 90-246 of 18 August 1990 regulating Pressure Vessels Supplied with Vapor; Art. 20, 28";
6.10;Pressure Vessels/Systems;The facility has obtained an authorization from the Governor (wali) for every pressure vessel supplied with vapor prior to putting it into service, for installations undergoing a significant modification or changing  location.;"Executive Decree 90-246 of 18 August 1990 regulating Pressure Vessels Supplied with Vapor; Art. 50";*Authorization for vapor pressure vessel
6.11;Pressure Vessels/Systems;A distance of at least ten meters separates class 1 pressure vessels supplied with vapor from dwelling houses and buildings receiving the public.;"Executive Decree 90-246 of 18 August 1990 regulating Pressure Vessels Supplied with Vapor; Art. 39";
6.12;Pressure Vessels/Systems;The facility ensures that thorough verifications of its pressure vessels supplied with vapor are undertaken at least every 18 months.;"Executive Decree 90-246 of 18 August 1990 regulating Pressure Vessels Supplied with Vapor; Art. 45";*Copy of the report containing the results of the thorough verifications of pressure vessels supplied with vapor
6.13;Pressure Vessels/Systems;The facility has sent a copy of the report containing the results of the thorough verifications of its pressure vessels supplied with vapor to the Ministry of Energy and Mining.;"Executive Decree 90-246 of 18 August 1990 regulating Pressure Vessels Supplied with Vapor; Art. 47";*Records of verification of pressure vessels supplied with gas
7.1;Electrical Safety;Electrical installations are checked, controlled and maintained regularly by competent persons.;"Executive Decree 91-05 of 19 January 1991 on General Prescriptions for Protection Relative to Hygiene and Safety in Workplaces; Art. 62";*Records of verifications and inspections
7.2;Electrical Safety;Documents relating to electrical installations are made available to the labor inspector.;"Executive Decree 01-342 of 28 October 2001 on Specific Provisions for the Protection of Workers Against Electrical Risks in the Workplace; Art. 71";"*Reports about the verification the state of the electrical installations and points of non conformity to the legislation.
*Register where are recorded date and nature of the verifications or controls on electrical installations as well as names and qualifications of persons that carried them out.
*Schematic map of the premises or workstation subject to special prescriptions relative to electrical installations.
*Map of the buried electrical installations.
*Documentary evidence of works and modifications carried out to compensate for defectiveness in electrical installations."
7.3;Electrical Safety;An electrical safety installation is installed, used, and maintained in good working order.;"Executive Decree 01-342 of 28 October 2001 on Specific Provisions for the Protection of Workers Against Electrical Risks in the Workplace; Art. 23";
7.4;Electrical Safety;In premises and workstations, active electrical parts are put out of reach of workers.;"Executive Decree 01-342 of 28 October 2001 on Specific Provisions for the Protection of Workers Against Electrical Risks in the Workplace; Art. 24";
7.5;Electrical Safety;The employer clearly specifies and delimits which premises and workstations are devoted to production, conversion, or distribution of electricity and which are the premises and workstations where the presence or accessible active parts results from a technical necessity, and authorizes their entry only to persons informed about electrical hazards and permitted by the employer to work therein.;"Executive Decree 01-342 of 28 October 2001 on Specific Provisions for the Protection of Workers Against Electrical Risks in the Workplace; Art. 35";*Schematic map of the premises or workstation subject to special prescriptions relative to electrical installations.
7.6;Electrical Safety;There are signs pointing to the hazards or prohibiting the entry of non authorized persons to premises and workstations where machinery or installations comprising non protected active parts are used.;"Executive Decree 01-342 of 28 October 2001 on Specific Provisions for the Protection of Workers Against Electrical Risks in the Workplace; Art. 37";
7.7;Electrical Safety;In premises or workstations containing unprotected active parts of the high voltage A domain or high voltage B domain, doors are locked from outside.;"Executive Decree 01-342 of 28 October 2001 on Specific Provisions for the Protection of Workers Against Electrical Risks in the Workplace; Art. 37";
7.8;Electrical Safety;Electrical installations are checked when put into service, and after any change to their structure, then periodically thereafter by an appointed person.;"Executive Decree 01-342 of 28 October 2001 on Specific Provisions for the Protection of Workers Against Electrical Risks in the Workplace; Art. 69";*Reports about the verification the state of the electrical installations and points of non conformity to the legislation.
8.1;Personal Protective Equipment;Workers are equipped with the necessary personal protective equipment.;"Law 88-07 of 26 January 1988 on Hygiene, Safety, and Occupational Health Care; Art. 6";
8.2;Personal Protective Equipment;If noise levels cannot be properly controlled, the employer provides workers with suitable individual equipment to protect them against noise.;"Executive Decree 91-05 of 19 January 1991 on General Prescriptions for Protection Relative to Hygiene and Safety in Workplaces; Art. 16";
8.3;Personal Protective Equipment;The employer maintains personal equipment for protection from noise in a good state of operation.;"Executive Decree 91-05 of 19 January 1991 on General Prescriptions for Protection Relative to Hygiene and Safety in Workplaces; Art. 16";
8.4;Personal Protective Equipment;The employer provides workers exposed to low or high temperature with personal protective equipment.;"Executive Decree 91-05 of 19 January 1991 on General Prescriptions for Protection Relative to Hygiene and Safety in Workplaces; Art. 17";
8.5;Personal Protective Equipment;The facility ensures that collective and individual protective equipment is checked, controlled and maintained regularly by skilled persons designated by the employer.;"Executive Decree 91-05 of 19 January 1991 on General Prescriptions for Protection Relative to Hygiene and Safety in Workplaces; Art. 62";
9.1;Potentially Explosive Atmospheres;"Premises where flammable materials are stored and handled are only lit with electrical lamps protected by airtight double casing or by external lamps in glass fittings (""sous verre dormant"").";"Executive Decree 91-05 of 19 January 1991 on General Prescriptions for Protection Relative to Hygiene and Safety in Workplaces; Art. 48";
9.2;Potentially Explosive Atmospheres;In areas with a high risk of explosion electrical installations are reduced to the minimum needed for the operations.;"Executive Decree 91-05 of 19 January 1991 on General Prescriptions for Protection Relative to Hygiene and Safety in Workplaces; Art. 49";
9.3;Potentially Explosive Atmospheres;In areas with a high risk of explosion, electrical installations do not comprise any source of sparks, or overheating likely to cause fire or explosion.;"Executive Decree 91-05 of 19 January 1991 on General Prescriptions for Protection Relative to Hygiene and Safety in Workplaces; Art. 49";
9.4;Potentially Explosive Atmospheres;In areas where second group flammable materials are handled, produced, treated or stored canalizations and electrical installations are equipped with systems to prevent their contact with those materials.;"Executive Decree 91-05 of 19 January 1991 on General Prescriptions for Protection Relative to Hygiene and Safety in Workplaces; Art. 53";
9.5;Potentially Explosive Atmospheres;In areas where second group flammable materials are handled, produced, treated or stored, electrical installations and devices are reduced to the minimum needed for the electricity supply and control of the machinery used therein.;"Executive Decree 91-05 of 19 January 1991 on General Prescriptions for Protection Relative to Hygiene and Safety in Workplaces; Art. 53";
9.6;Potentially Explosive Atmospheres;In areas where second group flammable materials are handled, produced, treated or stored the conductors, as well as conductive devices are protected and are not bare.;"Executive Decree 91-05 of 19 January 1991 on General Prescriptions for Protection Relative to Hygiene and Safety in Workplaces; Art. 53";
10.1;Driver Safety;The employer designates one or more workers to help the driver of a truck maneuvering, especially for reversing, in conditions of bad visibility.;"Executive Decree 91-05 of 19 January 1991 on General Prescriptions for Protection Relative to Hygiene and Safety in Workplaces; Art. 30";
10.2;Driver Safety;If the company operates transport vehicles that are heavier than 3.5 tons when loaded, it posts 3 white circles of 20 centimeters (cm) in diameter containing the speed limits for such vehicles on highways, roads other than highways outside urban areas, and in urban areas.;"Order of 15 June 2015 establishing the maximum speeds for vehicles transporting people and goods that are heavier than 3.5 tons including their cargo; Art. 10";
