id;domaine;chapitre;sous_chapitre;titre;exigence;lois;documents
11;air;1;15;Mesure et rapport;Si l'installation fonctionne ou a l'intention de faire fonctionner des installations qui ne sont pas réglementées par les règles applicables aux établissements classifiés, il a fourni à l'autorité compétente des informations sur ses émissions.;"Décret exécutif 06-138 du 15 avril 2006 régulant les émissions de gaz, les fumées, les vapeurs, les liquides ou les particules solides dans l''atmosphère et les conditions de leur contrôle.; Art. 10";* Informations sur les émissions de l'installation
12;air;1;16;Émissions de solvant / COV;L'installation garantit que l'émission du composé organique volatil ne dépasse pas 150 mg / nm3.;"Décret exécutif 06-138 du 15 avril 2006 régulant les émissions de gaz, les fumées, les vapeurs, les liquides ou les particules solides dans l''atmosphère et les conditions de leur contrôle.; Annexe 1";* Enregistrements de la surveillance des émissions de composés organiques volatils
13;air;2;1;Efficacité énergétique des processus;Si la société est une entreprise industrielle, de transport ou de services avec une consommation annuelle d'énergie atteignant les limites énoncées par décret exécutif n ° 05-495 du 26 décembre 2005 concernant l'audit énergétique des établissements de consommation d'énergie élevés, elle a nommé une personne responsable de la gestion de l'énergie.;"Décret exécutif n ° 05-495 du 26 décembre 2005 concernant l''audit énergétique des établissements de consommation d''énergie élevés; Art. 17";"* Document sur la consommation d''énergie annuelle
* Lettre de nomination de la personne responsable de la gestion de l''énergie"
14;air;3;1;Émissions de bruit ambiant;L'infrastructure des installations est construite, exécutée et conçue de manière à réduire le bruit ambiant généré.;"Loi 03-10 du 19 juillet 2003 sur la protection de l''environnement dans la perspective du développement durable; Art. 44 et art. 46
Décret exécutif 93-184 du 27 juillet 1993 sur les émissions de bruit.; Art. 7";* Enregistre sur le bruit ambiant généré par l'installation
15;air;3;2;Émissions de bruit ambiant;Si le niveau de bruit généré par l'installation dépasse les niveaux de bruit ambiant répertoriés sous l'art. 6 du décret exécutif 93-184 du 27 juillet 1993, l'installation prend des mesures pour réduire ces niveaux.;"Décret exécutif 93-184 du 27 juillet 1993 sur les émissions de bruit.; Art. 6";* Enregistre sur le bruit ambiant généré par l'installation
16;air;3;3;Émissions de bruit ambiant;Si l'installation mène des activités qui génèrent du bruit susceptible de présenter des dangers pour les personnes ou des nuisances de l'environnement, il a obtenu une autorisation.;"Loi 03-10 du 19 juillet 2003 sur la protection de l''environnement dans la perspective du développement durable; Art. 74";* Autorisation pour les activités générant du bruit
17;air;4;1;Rayonnement ionisant;Si l'installation possède ou exploite une source de rayonnement ionisant, elle a obtenu une autorisation valide de l'autorité compétente.;"Décret présidentiel 05-117 du 11 avril 2005 sur la protection des travailleurs contre les radiations ionisantes.; Art. 3";* Autorisation opérationnelle pour les sources de rayonnement ionisant
18;air;4;2;Rayonnement ionisant;Si l'installation importe ou exporte une source de rayonnement ou une substance radioactive, elle a obtenu un visa antérieur pour le faire de la Commission de l'énergie atomique (commissariat à l'énergie atomique).;"Décret présidentiel 05-117 du 11 avril 2005 sur la protection des travailleurs contre les radiations ionisantes.; Art. 5";* Visa pour importer des substances radioactives ou des sources de rayonnement
19;air;4;3;Rayonnement ionisant;Si l'installation exploite une source de rayonnement ionisant, il informe la Commission de l'énergie atomique (commissariat à l'énergie atomique) trois mois avant les dates des essais précédant le fonctionnement effectif des installations, ainsi que les dates du fonctionnement efficace de l'installation, et le début des pratiques impliquant la source de radiation ionisante.;"Décret présidentiel 05-117 du 11 avril 2005 sur la protection des travailleurs contre les radiations ionisantes.; Art. 12";* Informations sur le «commissariat» de l'énergie atomique aux dates des essais précédant le fonctionnement effectif des installations, ainsi que les dates du fonctionnement effectif de l'installation
20;air;4;4;Rayonnement ionisant;Si l'installation possède ou exploite une source de rayonnement ionisant, elle a fait une déclaration à la Commission de l'énergie atomique (Commissariat à L'énergie Atomique).;"Décret présidentiel 05-117 du 11 avril 2005 sur la protection des travailleurs contre les radiations ionisantes.; Art. 3 et art. 5 et art. 7";* Déclaration du fonctionnement d'une source de rayonnement ionisant
21;air;4;5;Rayonnement ionisant;Si l'installation décharge des matières radioactives à l'environnement, il a une autorisation valable pour le faire.;"Décret présidentiel 05-117 du 11 avril 2005 sur la protection des travailleurs contre les radiations ionisantes.; Art. 87
Décret présidentiel 05-119 du 11 avril 2005 sur la gestion des déchets radioactifs; Art. 7";* Autorisation pour la sortie des matières radioactives
22;air;4;6;Rayonnement ionisant;Si l'installation exploite des sources radioactives, elle a soumise à la Commission de l'énergie atomique (commissariat à l'énergie Atomique), les documents énumérés à l'article 85 du décret présidentiel 05-117 du 11 avril 2005 sur la protection des travailleurs contre l'ionisant le rayonnement avant la configuration de l'installation.;"Décret présidentiel 05-117 du 11 avril 2005 sur la protection des travailleurs contre les radiations ionisantes.; Art. 85";"* Plan d''urgence pour les installations qui utilisent des sources radioactives
* Plans de l''installation, y compris l''emplacement des sources radioactives
* Évaluations de la protection biologique
* Informations sur les mesures prévues afin de réduire l''exposition du public aux rayonnements ionisants
* Évaluation de l''impact radiologique
* Informations sur la contrainte de dose spécifique applicable à l''installation nucléaire
* Programme d''essai de service de l''installation nucléaire"
23;air;4;7;Rayonnement ionisant;Si l'installation a des versions de substances radioactives, elle les surveille à leur point d'émission.;"Décret présidentiel 05-117 du 11 avril 2005 sur la protection des travailleurs contre les radiations ionisantes.; Art. 89";* Les enregistrements sur la surveillance des versions de substances radioactifs à leur point d'émission
24;air;4;8;Rayonnement ionisant;Si l'installation utilise des sources radioactives, elle a établi un plan d'urgence qui a été approuvé par la Commission de l'énergie atomique (commissariat à l'Énergie Atomique) et les services de protection civile.;"Décret présidentiel 05-117 du 11 avril 2005 sur la protection des travailleurs contre les radiations ionisantes.; Art. 97";* Plan d'urgence pour les installations qui utilisent des sources radioactives
25;air;4;9;Rayonnement ionisant;Si l'installation mène des activités impliquant un risque d'exposition aux radiations, elle développe chaque année un plan d'urgence interne (مخطط الأستعجال الداخلي).;"Décret exécutif n ° 126-17 de 2017 sur la protection du public et des travailleurs contre les radiations radioactives; Art.12";* Plan d'urgence interne
26;air;4;10;Rayonnement ionisant;Si l'installation effectue des activités impliquant des rayonnements, elle garantit qu'elle effectue un examen de ses plans d'urgence internes chaque fois qu'un changement se produit aux évaluations sur lesquelles elle est fondée.;"Décret exécutif n ° 126-17 de 2017 sur la protection du public et des travailleurs contre les radiations radioactives; Art.16";* Plan d'urgence interne
27;air;4;11;Rayonnement ionisant;Si l'installation possède des sources de rayonnement ionisant et est classée comme installation de classe I ou II, elle développe un plan d'intervention d'urgence spécial (مخطط خاص للتدخل).;"Décret exécutif n ° 126-17 de 2017 sur la protection du public et des travailleurs contre les radiations radioactives; Art.17";* Plan d'urgence spécial pour les installations de classe I et de classe II
28;air;4;12;Rayonnement ionisant;L'installation informe les autorités compétentes chaque fois qu'elle déploie son plan d'urgence interne en raison d'un accident impliquant des rayonnements ionisants.;"Décret exécutif n ° 126-17 de 2017 sur la protection du public et des travailleurs contre les radiations radioactives; Art. 28";"* Plan d''urgence interne
* Preuve de notification d''un accident impliquant un rayonnement ionisant"
29;air;1;1;général air;Si l'installation émet des polluants atmosphériques, il est construit, conçu et exécuté de manière à éviter, à prévenir ou à réduire ces émissions à la source.;"Décret exécutif 06-138 du 15 avril 2006 régulant les émissions de gaz, les fumées, les vapeurs, les liquides ou les particules solides dans l''atmosphère et les conditions de leur contrôle.; Art. 4";nan
30;air;1;2;général air;L'installation garantit que le nombre de points d'émission ou l'emplacement des décharges atmosphériques est aussi faible que possible;"Décret exécutif 06-138 du 15 avril 2006 régulant les émissions de gaz, les fumées, les vapeurs, les liquides ou les particules solides dans l''atmosphère et les conditions de leur contrôle.; Art. 6";nan
77;dangerous;1;2;Stockage et manipulation;L'accès est réglementé dans les zones où les matériaux inflammables du groupe 1 sont manipulés ou utilisés.;"Décret exécutif 91-05 du 19 janvier 1991 sur les prescriptions générales de protection par rapport à l''hygiène et à la sécurité dans les lieux de travail; Art. 31";nan
31;air;1;3;général air;Si l'installation traite ses émissions, les installations de traitement sont conçues, exécutées et entretenues de manière à réduire au minimum les périodes où elles ne peuvent pas fonctionner à pleine capacité.;"Décret exécutif 06-138 du 15 avril 2006 régulant les émissions de gaz, les fumées, les vapeurs, les liquides ou les particules solides dans l''atmosphère et les conditions de leur contrôle.; Art. 7";* Enregistrements de surveillance des émissions
32;air;1;4;général air;Si l'installation prétraite ses émissions, il a installé des cheminées ou des dispositifs d'évacuation pour évacuer les émissions traitées, et qui sont conçues de manière à permettre une bonne dispersion des émissions dans l'atmosphère.;"Décret exécutif 06-138 du 15 avril 2006 régulant les émissions de gaz, les fumées, les vapeurs, les liquides ou les particules solides dans l''atmosphère et les conditions de leur contrôle.; Art. 8";nan
33;chemicals;1;1;Emballage chimique;L'installation garantit que toutes les substances, matériaux et préparations dangereux sont conservés dans des emballages solides, résistants aux fuites et appropriés.;"Décret exécutif 05-08 du 08 janvier 2005 sur des prescriptions particulières applicables aux substances, matériaux et produits dangereux en milieu de travail; Art. 5";nan
34;chemicals;1;2;Emballage chimique;Si la société transporte les matériaux dangereux de la classe 4, il correspond à ces matériaux conformément aux dispositions d'emballage énoncées dans le chapitre 2, la section 1 de l'Ordre ministériel du 2 novembre 2000 sur le transport routier de solides inflammables, des matériaux combustibles spontanément, des substances qui en contact avec l'eau, émettent des gaz inflammables,;"Ordonnance ministérielle du 2 novembre 2000 sur le transport routier de solides inflammables, matériaux combustibles spontanément, substances qui en contact avec l''eau, émettent des gaz inflammables; Chapitre 2; Section 1";nan
35;chemicals;1;3;Étiquetage chimique;Les matières dangereuses, produits ou substances de l'installation sont étiquetées et correctement marquées de manière à permettre leur identification.;"Décret exécutif 05-08 du 08 janvier 2005 sur des prescriptions particulières applicables aux substances, matériaux et produits dangereux en milieu de travail; Art. 6";nan
36;chemicals;2;1;Utilisation et commercialisation des restrictions / interdictions;L'installation n'importe, ne fabrique pas ou ne distribue pas des produits de consommation qui contiennent des substances interdites.;"Décret exécutif 97-254 du 8 juillet 1997 concernant l''autorisation antérieure à obtenir pour la fabrication et l''importation de produits toxiques; Art. 4";nan
37;chemicals;2;2;Utilisation et commercialisation des restrictions / interdictions;Si l'installation importe, fabrique ou distribue des produits de consommation avec des attributs toxiques ou qui sont susceptibles de générer un risque spécifique, il a obtenu une autorisation valide préalable du ministre du commerce.;"Décret exécutif 97-254 du 8 juillet 1997 concernant l''autorisation antérieure à obtenir pour la fabrication et l''importation de produits toxiques; Art. 1";* Autorisation pour l'importation, la fabrication ou la distribution de produits de consommation avec des attributs toxiques ou qui sont susceptibles de générer un risque spécifique
38;chemicals;2;3;Utilisation et commercialisation des restrictions / interdictions;Si la société est accréditée par le ministre de l'Énergie pour la fourniture de produits chimiques et de matériaux dangereux ainsi que des conteneurs de gaz sous pression sur le marché local en Algérie, il soumet des copies des autorisations des acheteurs de ces matériaux à la Direction de l'énergie locale.;"Ordonnance interministérielle du 19 juin 2014 établissant les conditions et procédures pour l''acquisition de produits chimiques et de matériaux dangereux du marché local par des personnes naturelles ou légales dont les activités professionnelles ou personnelles nécessitent l''utilisation occasionnelle de ces matériaux et produits chimiques; Art. 9";* Copies des autorisations des acheteurs de produits chimiques et de matériaux dangereux
39;chemicals;2;4;Utilisation et commercialisation des restrictions / interdictions;Si l'installation fabrique ou importe des produits de consommation présentant un risque de toxicité ou un risque spécifique, il a soumis la totalité des formules de ces produits au centre anti-poisson de la bonne manière.;"Ordonnance interministérielle du 28 décembre 1997 établissant la liste des produits de consommation susceptibles de créer un risque de toxicité et les listes de substances qui utilisent sont interdites pour la fabrication de ces produits; Art. 3 et art. 6";"* Preuve de la soumission de produits de consommation avec des attributs toxiques ou qui sont susceptibles de générer un risque spécifique
* Déclaration de la formule des produits à risque de toxicité pour le centre antipoison"
40;chemicals;2;5;Utilisation et commercialisation des restrictions / interdictions;Si la société a acquis des produits chimiques et des matériaux dangereux ou des conteneurs de gaz sous pression sur la base d'une autorisation du Walli de la juridiction, il informe immédiatement le Walli lorsqu'il arrête ses activités.;"Ordonnance interministérielle du 19 juin 2014 établissant les conditions et procédures pour l''acquisition de produits chimiques et de matériaux dangereux du marché local par des personnes naturelles ou légales dont les activités professionnelles ou personnelles nécessitent l''utilisation occasionnelle de ces matériaux et produits chimiques; Art. 12
Ordonnance interministérielle du 25 novembre 2015 établissant la liste et la classification des matières dangereuses et des produits chimiques; Art. 2";* Copie de la notification envoyée au WALI de la juridiction sur l'arrêt des activités de l'entreprise contenant des produits chimiques et des matériaux dangereux
41;chemicals;2;6;Utilisation et commercialisation des restrictions / interdictions;L'installation n'importe pas, ne fabrique pas ou ne distribue pas des produits de consommation qui contiennent des substances réglementées en quantités qui dépassent les seuils pertinents.;"Ordonnance interministérielle du 28 décembre 1997 établissant la liste des produits de consommation susceptibles de créer un risque de toxicité et les listes de substances qui utilisent sont interdites pour la fabrication de ces produits; Art. 9";nan
42;chemicals;2;7;Utilisation et commercialisation des restrictions / interdictions;Si l'installation acquiert des matières dangereuses et / ou des substances chimiques du marché local, elle se négocie uniquement avec des opérateurs qui ont obtenu une accréditation valide du ministère de l'Énergie et des Mines.;"Décret exécutif 03-451 du 01 décembre 2003 sur les règles de sécurité qui s''appliquent aux activités liées aux matières dangereuses et aux produits chimiques ainsi qu''aux navires sous pression; Art. 9
Ordonnance interministérielle du 25 novembre 2015 établissant la liste et la classification des matières dangereuses et des produits chimiques; Art. 2";nan
166;emergency;1;1;Prévention des incendies;Les bâtiments et les lieux de travail, y compris les annexes, sont protégés contre les incendies et les explosions.;"Loi 88-07 du 26 janvier 1988 sur l''hygiène, la sécurité et les soins de santé au travail; Art. 5";nan
43;chemicals;2;8;Utilisation et commercialisation des restrictions / interdictions;Si l'installation acquiert des matières dangereuses et / ou des substances chimiques d'un marché étranger, il a obtenu un visa valide pour ce faire.;"Décret exécutif 03-451 du 01 décembre 2003 sur les règles de sécurité qui s''appliquent aux activités liées aux matières dangereuses et aux produits chimiques ainsi qu''aux navires sous pression; Art. 12
Ordonnance interministérielle du 1er août 2004 par rapport aux conditions et aux modes d''achat sur les produits et matériaux chimiques dangereux sur les marchés externes; Art. 2
Ordonnance interministérielle du 25 novembre 2015 établissant la liste et la classification des matières dangereuses et des produits chimiques; Art. 2";* Visa pour l'acquisition de substances chimiques dangereuses sur le marché étranger
44;chemicals;2;9;Utilisation et commercialisation des restrictions / interdictions;En cas de vol ou de disparition de substances chimiques dangereuses et / ou de navires de pression de gaz, l'installation a informé les services de sécurité compétentes et le service d'énergie et d'exploitation minière du gouvernorat (Wilayah) sans retard.;"Décret exécutif 03-451 du 01 décembre 2003 sur les règles de sécurité qui s''appliquent aux activités liées aux matières dangereuses et aux produits chimiques ainsi qu''aux navires sous pression; Art. 21
Ordonnance interministérielle du 25 novembre 2015 établissant la liste et la classification des matières dangereuses et des produits chimiques; Art. 2";* Notification du vol ou des substances dangereuses de la disparition
45;chemicals;2;10;Utilisation et commercialisation des restrictions / interdictions;Si l'installation a changé la formule des produits de consommation avec un risque de toxicité ou un risque spécifique qu'il importe ou fabrique, il a fait une nouvelle déclaration au centre anti-poisson.;"Ordonnance interministérielle du 28 décembre 1997 établissant la liste des produits de consommation susceptibles de créer un risque de toxicité et les listes de substances qui utilisent sont interdites pour la fabrication de ces produits; Art. 5";* Déclaration de la formule des produits à risque de toxicité pour le centre antipoison
46;chemicals;2;11;Utilisation et commercialisation des restrictions / interdictions;Si l'installation produit, utilise, vend ou stocke des produits chimiques et / ou des matériaux dangereux ainsi que des conteneurs sous pression, il relève mensuel à la Direction de l'énergie locale sur les matières dangereuses qu'ils ont utilisées / gérées pendant ce mois.;"Ordonnance interministérielle du 8 juillet 2014 établissant les conditions et procédures d''accréditation des entreprises et des activités de conduite du personnel qui nécessitent l''utilisation de produits chimiques et de matériaux dangereux ainsi que des conteneurs de gaz sous pression; Art. 12";* Des copies des rapports mensuels à la Direction de l'énergie locale sur les matières dangereuses vendues, produites, utilisées ou stockées
47;chemicals;2;12;Restrictions d'importation chimique / exportation;Si l'installation importe des substances chimiques répertoriées dans les tableaux 2 et 3 de l'annexe à la décision du 24 mars 2005, il fait une déclaration au comité interministéral chargé de la mise en œuvre de l'interdiction de la convention de conception, de production, de stockage et d'utilisation des armes chimiques et de leur destruction.;"Décision du 24 mars 2005 sur l''intégration des produits chimiques des tableaux 2 et 3 de la Convention sur l''interdiction de la conception, la production, le stockage et l''utilisation d''armes chimiques à la liste des produits chimiques dangereux dont l''importation a besoin d''une autorisation préalable; Art. 2";* Déclaration de l'importation de substances chimiques énumérées dans les tableaux 2 et 3 de l'annexe à la décision 24 mars 2005
48;chemicals;2;13;Restrictions d'armes chimiques;Si l'installation fabrique des substances chimiques des annexes 1 et 2 de l'annexe sur les substances chimiques à la Convention sur l'interdiction du développement, de la production, du stockage et de l'utilisation d'armes chimiques et sur leur destruction, elle est une autorisation valide pour le faire.;"Décret exécutif n ° 09-157 du 2 mai 2009 sur l''exploitation des installations de fabrication de produits chimiques des annexes 1 et 2 de la Convention sur l''interdiction du développement, de la production, du stockage et de l''utilisation d''armes chimiques et de leur destruction; Art. 2 et art. 6 et art. 7";* Autorisation de fabriquer des substances chimiques de la Convention sur les armes chimiques
49;chemicals;2;14;Restrictions d'armes chimiques;Si l'installation a l'intention de fabriquer des substances chimiques des annexes 1 et 2 de l'annexe sur les substances chimiques à la Convention sur les armes chimiques, elle a obtenu une approbation technique du ministère en charge de l'industrie, pour ses installations avant les opérations.;"Décret exécutif n ° 09-157 du 2 mai 2009 sur l''exploitation des installations de fabrication de produits chimiques des annexes 1 et 2 de la Convention sur l''interdiction du développement, de la production, du stockage et de l''utilisation d''armes chimiques et de leur destruction; Art. 8 et art. 10";* Approbation technique des installations consacrées à la fabrication de substances chimiques de l'annexe à la convention d'armes chimiques
50;chemicals;2;15;Restrictions d'armes chimiques;Si l'installation a l'intention d'exporter / d'importer des substances chimiques de l'annexe 1 de l'annexe sur les substances chimiques à la Convention sur les armes chimiques, elle est une autorisation valable de le faire.;"Décret exécutif n ° 09-158 du 2 mai 2009 sur les procédures et méthodes d''autorisation du transfert des produits chimiques des tableaux 1 et 3 de l''annexe à la Convention sur l''interdiction du développement, de la production, du stockage et de l''utilisation d''armes chimiques et de leur destruction; Art. 3";* Autorisation d'exporter / importer des substances chimiques de l'annexe 1 de l'annexe sur les substances chimiques à la Convention sur les armes chimiques
51;chemicals;2;16;Restrictions d'armes chimiques;L'installation n'exporte pas / n'importe pas de substances chimiques de l'annexe 1 de l'annexe sur les substances chimiques à la Convention ou des mélanges d'armes chimiques contenant ces substances aux pays non parties à la convention.;"Décret exécutif n ° 09-158 du 2 mai 2009 sur les procédures et méthodes d''autorisation du transfert des produits chimiques des tableaux 1 et 3 de l''annexe à la Convention sur l''interdiction du développement, de la production, du stockage et de l''utilisation d''armes chimiques et de leur destruction; Art. 3";nan
52;chemicals;2;17;Restrictions d'armes chimiques;L'installation détient une autorisation valide si elle a l'intention d'exporter / d'importer des substances chimiques de l'annexe 3 de l'annexe à la Convention sur les armes chimiques aux pays non parties.;"Décret exécutif n ° 09-158 du 2 mai 2009 sur les procédures et méthodes d''autorisation du transfert des produits chimiques des tableaux 1 et 3 de l''annexe à la Convention sur l''interdiction du développement, de la production, du stockage et de l''utilisation d''armes chimiques et de leur destruction; Art. 5 et art. 6";* Autorisation d'exporter / importer des substances chimiques de l'annexe 3 de l'annexe sur les substances chimiques à la Convention sur les armes chimiques
53;chemicals;2;18;Restrictions d'armes chimiques;Si les installations stocke, importe, exportent ou transfèrent les produits chimiques des annexes 1, 2 ou 3 de l'annexe à la convention sur les produits chimiques d'armes, il déclare ses activités au comité interministériel en charge de la convention.;"Décret exécutif n ° 09-160 du 2 mai 2009 sur la déclaration des activités liées à la mise en œuvre de la Convention sur l''interdiction du développement, de la production, du stockage et de l''utilisation d''armes chimiques et de leur destruction; Art. 2 et art. 4";* Déclaration des activités relatives aux produits chimiques de l'annexe 1, 2 ou 3 de l'annexe à la convention chimique de l'arme
54;chemicals;2;19;Restrictions d'armes chimiques;Si l'installation fabrique ou utilise des produits chimiques dans les installations ayant fabriqué, traité ou consommé des produits chimiques des annexes 1 et 2 de la Convention sur les armes chimiques, elle déclare ses activités au comité interministériel en charge de la convention.;"Décret exécutif n ° 09-160 du 2 mai 2009 sur la déclaration des activités liées à la mise en œuvre de la Convention sur l''interdiction du développement, de la production, du stockage et de l''utilisation d''armes chimiques et de leur destruction; Art. 2 et art. 4";* Déclaration des activités relatives aux produits chimiques de l'annexe 1, 2 ou 3 de l'annexe à la convention chimique de l'arme
55;chemicals;2;20;Restrictions d'armes chimiques;Si l'installation fabrique ou utilise des produits chimiques dans des installations ayant fabriqué plus de 30 tonnes de produits chimiques de l'annexe 3 de la convention d'armes chimiques, il déclare ses activités au comité interministéral en charge de la convention.;"Décret exécutif n ° 09-160 du 2 mai 2009 sur la déclaration des activités liées à la mise en œuvre de la Convention sur l''interdiction du développement, de la production, du stockage et de l''utilisation d''armes chimiques et de leur destruction; Art. 2 et art. 4";* Déclaration des activités relatives aux produits chimiques de l'annexe 1, 2 ou 3 de l'annexe à la convention chimique de l'arme
56;chemicals;2;21;Restrictions d'armes chimiques;Si l'installation fabrique ou utilise des produits chimiques dans des installations ayant des produits chimiques fabriqués ou utilisés qui sont un mélange de produits des annexement 1 et 2 (partie A) de la convention d'armes chimiques, il déclare ses activités au comité interministériel en charge de la convention.;"Décret exécutif n ° 09-160 du 2 mai 2009 sur la déclaration des activités liées à la mise en œuvre de la Convention sur l''interdiction du développement, de la production, du stockage et de l''utilisation d''armes chimiques et de leur destruction; Art. 3 et art. 4";* Déclaration des activités relatives aux produits chimiques de l'annexe 1, 2 ou 3 de l'annexe à la convention chimique de l'arme
57;chemicals;2;22;Restrictions d'armes chimiques;Si l'installation fabrique ou utilise des produits chimiques dans des installations ayant des produits chimiques fabriqués ou utilisés qui sont un mélange contenant 30% ou plus des produits de l'annexe 2 (partie B) ou des produits de l'annexe 3 de la Convention sur les armes chimiques, il déclare ses activités au comité interministériel en charge de la convention.;"Décret exécutif n ° 09-160 du 2 mai 2009 sur la déclaration des activités liées à la mise en œuvre de la Convention sur l''interdiction du développement, de la production, du stockage et de l''utilisation d''armes chimiques et de leur destruction; Art. 3 et art. 4";* Déclaration des activités relatives aux produits chimiques de l'annexe 1, 2 ou 3 de l'annexe à la convention chimique de l'arme
58;chemicals;2;23;Précurseurs de drogue;Si la société produit, fabrique, possède, vend, achète, stocke, distribue, transporte, importe ou exporte des drogues narcotiques et des substances psychotropes, elle a obtenu une autorisation du ministre ou de la santé.;"Loi n ° 04-18 du 25 décembre 2004 sur la prévention et la suppression de l''utilisation et du trafic illicites de drogues narcotiques et de substances psychotropes; Art. 4; Art. 5; Art. 1
Décret exécutif n ° 07-228 du 30 juillet 2007 établissant les règles pour accorder l''autorisation d''utiliser des stupéfiants et des substances psychotropes à des fins médicales et scientifiques; Art. 2; Art. 3; Art. 5";* Autorisation de produire, de fabriquer, de posséder, de vendre, d'acheter, de stocker, de distribuer, de transporter, d'importer ou d'exporter des drogues stupéfiantes et des substances psychotropes
59;chemicals;2;24;Précurseurs de drogue;Si la société a une autorisation de produire, de fabriquer, de posséder, de vendre, d'acheter, de stocker, de distribuer, de transporter, d'importer ou d'exporter des médicaments narcotiques et des substances psychotropes, il conserve le document d'autorisation pendant 5 ans à partir de la date à laquelle il l'a reçu.;"Loi n ° 04-18 du 25 décembre 2004 sur la prévention et la suppression de l''utilisation et du trafic illicites de drogues narcotiques et de substances psychotropes; Art. 1
Décret exécutif n ° 07-228 du 30 juillet 2007 établissant les règles pour accorder l''autorisation d''utiliser des stupéfiants et des substances psychotropes à des fins médicales et scientifiques; Art. 5; Art. 11";* Autorisation de produire, de fabriquer, de posséder, de vendre, d'acheter, de stocker, de distribuer, de transporter, d'importer ou d'exporter des drogues stupéfiantes et des substances psychotropes
